,,,,,,,,,,,,,,
,qc_id,식당이�,시도,시군구,주소,카테고�,카테��,경도,위도,x,y,방문횟�,auxiliary_,auxiliar_1
,9183,진미식당,전라북도,익산시,전북특별자치도 익산시 황등면 황등로 158,한식,향토음식,1269448519,360058328,126.9448519,36.0058328,57,,
,11325,진미식당,경상북도,문경시,경상북도 문경시 중앙6길 19,한식,"순대,순댓국",1282010400,365962507,128.20104,36.5962507,57,,
,11637,진미식당,경남,함안군,경상남도 함안군 가야읍 성내남길 32-12 영산개발,한식,낙지요리,1283981997,352745155,128.3981997,35.2745155,57,,
,13241,진미식당,충남,서천군,충청남도 서천군 판교면 종판로 885 진미식당,한식,국수,1266889257,361542822,126.6889257,36.1542822,57,,
,2393,오늘은 짬뽕 땡기는날,경상북도,경산시,경상북도 경산시 경안로48길 12,중식,중식당,1287374899,358282390,128.7374899,35.828239,56,,
,1631,태화루,충청남도,당진시,충청남도 당진시 시청2로 6-5 2nd 태화루,중식,중식당,1266436763,368902511,126.6436763,36.8902511,55,,
,1732,태화루,경기도,파주시,경기도 파주시 문화로 62,중식,중식당,1267763670,377598520,126.776367,37.759852,55,,
,1986,태화루,전라남도,고흥군,전라남도 고흥군 고흥읍 학교길 72 일반음식점,중식,중식당,1272878750,346086750,127.287875,34.608675,55,,
,2401,태화루,경상남도,밀양시,경상남도 밀양시 북성로 59,중식,중식당,1287491850,354989320,128.749185,35.498932,55,,
,3267,산책,충청북도,제천시,충청북도 제천시 칠성로2길 25,카페,,1282056609,371454041,128.2056609,37.1454041,55,,
,3772,산책,경기도,연천군,경기도 연천군 전곡읍 선사로 204,카페,카페,1270699942,380097033,127.0699942,38.0097033,55,,
,4191,마루,충청남도,부여군,충청남도 부여군 부여읍 사비로 97-1,양식,피자,1269103345,362813897,126.9103345,36.2813897,55,,
,4307,황금어장,전남,목포시,전라남도 목포시 미항로 89,한식,,1264304900,347948210,126.43049,34.794821,55,,
,4412,황금어장,제주,제주시,제주특별자치도 제주시 사장길 14,한식,,1264955315,334844105,126.4955315,33.4844105,55,,
,7508,황금어장,인천광역시,강화군,인천광역시 강화군 화도면 해안남로 1508 102호,한식,생선회,1264554246,375939314,126.4554246,37.5939314,55,,
,7897,황금어장,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중앙로48번길 14 올래시장 190호,한식,생선회,1265630955,332490742,126.5630955,33.2490742,55,,
,8362,황금어장,전라북도,군산시,전북특별자치도 군산시 상지곡1길 20,한식,생선회,1267073557,359565678,126.7073557,35.9565678,55,,
,8420,황금어장,경기도,김포시,경기도 김포시 돌문로86번길 12-19,한식,생선회,1267155653,376213800,126.7155653,37.62138,55,,
,8606,황금어장,전라남도,강진군,전라남도 강진군 강진읍 보은로2길 22,한식,생선회,1267707793,346387580,126.7707793,34.638758,55,,
,9772,황금어장,전라남도,보성군,전라남도 보성군 득량면 예당길 168,한식,"해물,생선요리",1271998025,347793088,127.1998025,34.7793088,55,,
,730,백제성 숯불구이 정육식당,전라북도,전주시,전북특별자치도 전주시 완산구 홍산2길 5-8 다음빌딩 1층,육류,정육식당,1271096937,358151668,127.1096937,35.8151668,54,,
